Name,Symbol,Shares,Price,Average cost,Total return,Equity
DoorDash,DASH,"2,000",$198.05,$3.85,"$388,398.28","$396,100.00"
NVIDIA,NVDA,"1,267.39",$176.63,$131.26,"$57,503.89","$223,858.66"
Alphabet Class C,GOOG,299.027,$319.86,$177.83,"$42,471.61","$95,646.86"
Broadcom,AVGO,120.507,$402.25,$180.23,"$26,754.73","$48,473.92"
Tempus AI,TEM,600,$78.17,$34.72,"$26,071.59","$46,902.00"
Carvana,CVNA,100,$374.00,$136.68,"$23,731.80","$37,400.00"
Microsoft,MSFT,154.163,$492.15,$368.43,"$19,072.30","$75,871.29"
Meta Platforms,META,137.431,$647.20,$512.02,"$18,578.32","$88,945.34"
Alphabet Class A,GOOGL,110.5,$319.90,$172.38,"$16,300.95","$35,348.98"
AMD,AMD,234,$217.97,$154.39,"$14,877.37","$51,003.86"
Micron Technology,MU,100.546,$237.19,$103.34,"$13,457.77","$23,848.40"
Reddit,RDDT,304.062,$216.51,$174.50,"$12,772.67","$65,832.48"
Argan,AGX,50.281,$395.87,$153.39,"$12,192.25","$19,904.89"
Amazon,AMZN,172,$233.11,$165.25,"$11,672.16","$40,094.56"
Agnico Eagle Mines,AEM,83.02,$174.19,$60.96,"$9,400.52","$14,461.25"
Palantir Technologies,PLTR,150.994,$169.03,$114.93,"$8,169.50","$25,522.56"
CrowdStrike Holdings,CRWD,65,$509.77,$387.53,"$7,945.57","$33,135.05"
IonQ,IONQ,450,$49.52,$32.04,"$7,867.85","$22,283.64"
Robinhood Markets,HOOD,100,$128.60,$50.33,"$7,827.11","$12,860.00"
JPMorgan Chase,JPM,41.833,$313.21,$126.85,"$7,796.12","$13,102.59"
Vanguard S&P 500 ETF,VOO,101.263,$628.55,$554.50,"$7,498.90","$63,648.88"
Snowflake,SNOW,100,$251.23,$178.99,"$7,224.01","$25,123.00"
Joby Aviation,JOBY,850,$14.43,$5.97,"$7,194.91","$12,265.59"
Taiwan Semiconductor Manufacturing,TSM,54.576,$291.77,$164.72,"$6,934.04","$15,923.75"
Vanguard Total Stock Market ETF,VTI,132.348,$336.42,$286.24,"$6,641.68","$44,524.74"
Eli Lilly,LLY,11.081,"$1,074.59",$479.02,"$6,599.23","$11,907.01"
Netflix,NFLX,330,$107.46,$87.62,"$6,546.60","$35,461.27"
Flex,FLEX,208,$59.15,$27.99,"$6,480.42","$12,303.10"
Apple,AAPL,54.295,$278.34,$168.22,"$5,979.06","$15,112.44"
Uber,UBER,227,$87.54,$61.45,"$5,923.34","$19,871.58"
Walmart,WMT,160.656,$110.51,$74.58,"$5,772.79","$17,754.23"
Newmont,NEM,104.951,$90.55,$38.54,"$5,458.71","$9,503.32"
Wheaton Precious Metals,WPM,82.548,$110.00,$47.81,"$5,133.71","$9,080.28"
Johnson & Johnson,JNJ,69.146,$207.47,$154.47,"$3,665.06","$14,345.74"
Twilio,TWLO,100,$129.67,$94.33,"$3,534.00","$12,967.00"
Berkshire Hathaway,BRK.B,21,$514.06,$348.50,"$3,476.73","$10,795.26"
IBM,IBM,25.668,$308.82,$174.26,"$3,453.95","$7,926.72"
SoundHound AI,SOUN,"1,657.61",$12.06,$10.25,"$2,992.12","$19,990.74"
Vistra,VST,50.29,$178.01,$118.90,"$2,972.64","$8,952.05"
Arista,ANET,40,$130.82,$58.75,"$2,882.96","$5,232.80"
Vertiv,VRT,51.055,$181.40,$129.08,"$2,671.06","$9,261.36"
Amphenol,APH,24.19,$141.07,$40.74,"$2,427.12","$3,412.50"
Monolithic Power Systems,MPWR,5.044,$928.17,$478.91,"$2,266.01","$4,681.56"
Wells Fargo,WFC,58.252,$86.00,$49.69,"$2,114.95","$5,009.70"
Duke Energy,DUK,67.388,$124.12,$92.97,"$2,098.81","$8,364.22"
PNC Financial,PNC,39.695,$190.72,$139.41,"$2,036.78","$7,570.54"
Spotify,SPOT,5,$598.87,$194.20,"$2,023.36","$2,994.35"
Nebius Group,NBIS,50,$95.00,$55.99,"$1,950.38","$4,749.88"
Sempra,SRE,74.348,$94.72,$68.54,"$1,946.20","$7,042.28"
Philip Morris,PM,30.107,$158.01,$96.27,"$1,858.89","$4,757.17"
Innodata,INOD,100,$57.49,$39.05,"$1,844.00","$5,749.00"
HEICO,HEI.A,16.017,$246.97,$135.26,"$1,789.17","$3,955.69"
Houlihan Lokey,HLI,20.265,$175.40,$87.92,"$1,772.73","$3,554.56"
Mastercard,MA,11.07,$550.10,$392.21,"$1,748.26","$6,091.21"
Intuitive Surgical,ISRG,7.9,$572.99,$355.33,"$1,719.51","$4,526.62"
Visa,V,13.089,$333.62,$204.68,"$1,687.79","$4,366.85"
Caterpillar,CAT,8.147,$575.86,$369.00,"$1,685.30","$4,691.64"
iShares Russell 1000 Value ETF,IWD,74.352,$209.98,$187.46,"$1,674.53","$15,612.47"
Palo Alto Networks,PANW,16,$190.31,$86.41,"$1,662.28","$3,044.88"
Kroger,KR,78.585,$67.57,$47.05,"$1,612.74","$5,309.99"
McKesson,MCK,3.013,$881.12,$358.68,"$1,574.14","$2,654.84"
DTE Energy,DTE,53.735,$137.03,$108.85,"$1,514.41","$7,363.35"
IDEXX Laboratories,IDXX,5,$752.88,$457.67,"$1,476.06","$3,764.40"
Shopify,SHOP,57,$159.49,$134.19,"$1,441.91","$9,090.83"
Trane Technologies,TT,6.057,$421.48,$186.85,"$1,421.06","$2,552.74"
AppLovin,APP,10,$600.02,$462.48,"$1,375.40","$6,000.20"
Westinghouse,WAB,16.098,$208.55,$124.14,"$1,358.80","$3,357.22"
Quanta,PWR,5.006,$465.05,$198.00,"$1,336.79","$2,327.94"
Ametek,AME,25.168,$197.89,$145.06,"$1,329.70","$4,980.52"
Ross,ROST,19.214,$176.29,$107.84,"$1,315.19","$3,387.28"
NextEra Energy,NEE,44.339,$86.27,$56.65,"$1,313.41","$3,825.15"
Johnson Controls,JCI,27.448,$116.31,$68.66,"$1,307.89","$3,192.51"
Pentair,PNR,26.32,$105.24,$56.47,"$1,283.68","$2,769.96"
Exelon,EXC,106.945,$47.11,$35.35,"$1,258.04","$5,038.20"
Lennox,LII,5.042,$498.87,$249.65,"$1,256.56","$2,515.31"
3M,MMM,27.546,$172.03,$129.18,"$1,180.41","$4,738.67"
Intuit,INTU,6.051,$633.12,$438.29,"$1,178.82","$3,830.71"
TransDigm,TDG,2.141,"$1,360.17",$812.10,"$1,173.33","$2,911.91"
Exxon Mobil,XOM,77.733,$115.85,$102.69,"$1,023.15","$9,005.34"
Goldman Sachs,GS,3.06,$826.75,$497.94,"$1,006.29","$2,530.22"
Rockwell Automation,ROK,8.139,$392.85,$270.54,$995.45,"$3,197.26"
W. R. Berkley,WRB,27.566,$77.69,$42.34,$974.47,"$2,141.62"
RTX Corporation,RTX,17.328,$175.00,$118.89,$972.30,"$3,032.37"
Riot Platforms,RIOT,500,$16.27,$14.34,$967.50,"$8,135.00"
Fair Isaac,FICO,1,"$1,805.83",$872.48,$933.35,"$1,805.83"
Opendoor Technologies,OPEN,250,$7.68,$4.06,$906.35,"$1,920.10"
iShares Russell 1000 Growth ETF,IWF,8.032,$476.45,$365.51,$891.05,"$3,826.81"
Intercontinental Exchange,ICE,17.193,$157.30,$105.54,$889.92,"$2,704.53"
Allegion,ALLE,14.184,$166.03,$106.79,$840.23,"$2,354.95"
Waste Management,WM,15.22,$217.87,$164.46,$812.90,"$3,315.94"
Eaton,ETN,6,$345.89,$214.92,$798.23,"$2,108.09"
Veralto Corporation,VLTO,35.155,$101.14,$78.44,$798.05,"$3,555.59"
TopBuild,BLD,3,$452.50,$203.77,$746.19,"$1,357.50"
Stryker,SYK,9.081,$371.18,$289.21,$744.38,"$3,370.60"
STERIS plc,STE,10.103,$266.28,$194.74,$722.77,"$2,690.22"
Dominion Energy,D,50.34,$62.89,$48.93,$702.76,"$3,165.86"
Broadridge,BR,8,$228.09,$145.51,$670.94,"$1,853.14"
Unilever,UL,52.657,$60.59,$48.77,$622.53,"$3,190.50"
SPDR S&P 500 ETF,SPY,5.059,$683.80,$562.01,$616.17,"$3,459.59"
Teledyne Technologies,TDY,6,$499.52,$402.43,$582.54,"$2,997.12"
S&P Global,SPGI,10.074,$498.35,$444.00,$547.54,"$5,020.57"
Las Vegas Sands,LVS,19.463,$67.60,$41.00,$517.67,"$1,315.68"
Charles Schwab,SCHW,14.526,$92.73,$58.87,$491.85,"$1,346.95"
Amgen,AMGN,7.228,$342.36,$276.06,$479.22,"$2,474.62"
Blackstone,BX,10.361,$146.42,$100.97,$470.87,"$1,517.01"
First Solar,FSLR,20,$272.92,$249.44,$469.60,"$5,458.40"
Verizon,VZ,74.87,$41.04,$34.78,$468.74,"$3,072.61"
FirstEnergy,FE,50.047,$47.72,$38.46,$463.54,"$2,388.25"
iShares Silver Trust,SLV,200,$51.19,$48.98,$443.00,"$10,238.00"
Celsius,CELH,38,$40.71,$29.97,$408.23,"$1,546.98"
Hexcel,HXL,18.242,$76.21,$55.24,$382.63,"$1,390.23"
KKR & Co,KKR,18.095,$122.31,$102.59,$356.76,"$2,213.22"
iShares Russell Midcap ETF,IWR,34.442,$96.95,$86.61,$356.09,"$3,339.10"
Tetra Tech,TTEK,55.382,$34.74,$28.39,$351.52,"$1,923.97"
Medtronic,MDT,22.721,$105.20,$89.90,$347.59,"$2,390.26"
McDonald's,MCD,6.142,$314.58,$258.11,$346.84,"$1,932.26"
TeraWulf,WULF,500,$15.51,$14.87,$322.50,"$7,755.00"
Brown & Brown,BRO,24.185,$80.43,$68.90,$278.84,"$1,945.18"
Analog Devices,ADI,4.07,$265.43,$202.16,$257.50,"$1,080.30"
General Electric,GE,1.019,$298.14,$46.30,$256.74,$303.94
Invesco S&P 500 High Dividend Low Volatility ETF,SPHD,18.257,$48.65,$35.25,$244.66,$888.23
Verisk Analytics,VRSK,7.043,$225.55,$191.05,$242.99,"$1,588.63"
Grainger,GWW,1.008,$948.63,$725.66,$224.79,$956.35
Abbott,ABT,10.228,$129.00,$107.84,$216.44,"$1,319.47"
Pagaya Technologies,PGY,16.667,$25.22,$13.15,$201.25,$420.40
Regeneron,REGN,3.014,$780.09,$716.70,$191.05,"$2,351.16"
Alcon,ALC,27.065,$79.31,$72.40,$186.97,"$2,146.54"
IREN Limited,IREN,200,$47.95,$47.08,$173.37,"$9,590.00"
Nordson,NDSN,9.138,$237.66,$218.86,$171.81,"$2,171.71"
AECOM,ACM,20.189,$103.13,$95.06,$162.87,"$2,082.07"
Coca-Cola,KO,39.139,$73.17,$69.01,$162.84,"$2,863.76"
Simon Property Group,SPG,6.301,$186.32,$164.61,$136.77,"$1,174.01"
Domino's Pizza,DPZ,4.061,$419.63,$386.61,$134.10,"$1,704.26"
Freeport-McMoRan,FCX,68.269,$42.86,$41.02,$125.87,"$2,926.00"
Maximus,MMS,16.261,$86.09,$79.18,$112.43,"$1,399.95"
MongoDB,MDB,1,$333.24,$226.06,$107.18,$333.24
D. R. Horton,DHI,19.273,$155.95,$151.25,$90.52,"$3,005.68"
Edwards Lifesciences,EW,5,$86.67,$69.48,$85.93,$433.35
Structure Therapeutics,GPCR,150,$35.26,$34.83,$64.02,"$5,289.00"
Synopsys,SNPS,2,$417.01,$386.00,$62.02,$834.02
American International Group,AIG,30.639,$76.16,$74.57,$48.69,"$2,333.50"
Rio Tinto,RIO,5.31,$72.27,$63.30,$47.61,$383.71
GameStop Corp. Warrants Exp. 10/30/2026,GME+,5,$3.64,$0.00,$18.20,$18.20
